Map,Treatment,Date Treated,Date Sampled,Days Post,weeks post,Basin Location,No larvae,Early,Late,Pupae,Emerged,,,,,
B-18,Sumilarv 3 WSP,5/26/2022,6/8/2022,13,2,Payne & Kedvale,0,1,0,0,NA,,,,,
B-18,Sumilarv 3 WSP,5/26/2022,6/8/2022,13,2,Payne & Kedvale,1,0,0,0,NA,,,,,
B-18,Sumilarv 3 WSP,5/26/2022,6/8/2022,13,2,9737 Keeler,1,0,0,0,NA,,,,,
B-18,Sumilarv 3 WSP,5/26/2022,6/8/2022,13,2,9737 Keeler,0,1,1,14,0,,,,,
B-18,Sumilarv 3 WSP,5/26/2022,6/8/2022,13,2,Grant & Kedvale,0,1,1,0,NA,,,,,
B-18,Sumilarv 3 WSP,5/26/2022,6/8/2022,13,2,Grant & Kedvale,1,0,0,0,NA,,,,,
B-18,Sumilarv 3 WSP,5/26/2022,6/8/2022,13,2,Grant & Kedvale,0,1,1,25,0,,,,,
B-10,Sumilarv 3 WSP,6/6/2023,6/20/2023,14,2,2420 Fir,1,0,0,0,NA,,,,,
B-10,Sumilarv 3 WSP,6/6/2023,6/20/2023,14,2,2420 Fir,1,0,0,0,NA,,,,,
B-10,Sumilarv 3 WSP,6/6/2023,6/20/2023,14,2,Fir & Cedarwood,1,0,0,0,NA,,,,,
B-10,Sumilarv 3 WSP,6/6/2023,6/20/2023,14,2,2401 Cedarwood,0,1,1,0,NA,,,,,
B-10,Sumilarv 3 WSP,6/6/2023,6/20/2023,14,2,2401 Cedarwood,0,1,1,0,NA,,,,,
B-10,Sumilarv 3 WSP,6/6/2023,6/20/2023,14,2,24 Swainwood,0,1,0,0,NA,,,,,
B-10,Sumilarv 3 WSP,6/6/2023,6/20/2023,14,2,1245 Cedarwood,1,0,0,0,NA,,,,,
B-10,Sumilarv 3 WSP,6/6/2023,6/20/2023,14,2,1245 Cedarwood,1,0,0,0,NA,,,,,
B-10,Sumilarv 3 WSP,6/6/2023,6/20/2023,14,2,Swainwood & Swainwood S,0,1,1,0,NA,,,,,
B-10,Sumilarv 3 WSP,6/6/2023,6/20/2023,14,2,Swainwood & Swainwood S,0,1,1,0,NA,,,,,
B-10,Sumilarv 3 WSP,6/6/2023,6/20/2023,14,2,Swainwood & Swainwood S,1,0,0,0,NA,,,,,
B-10,Sumilarv 3 WSP,6/6/2023,6/20/2023,14,2,Swainwood & Swainwood S,1,0,0,0,NA,,,,,
B-10,Sumilarv 3 WSP,6/6/2023,6/20/2023,14,2,Swainwood & Swainwood N,0,1,1,1,0,,,,,
B-10,Sumilarv 3 WSP,6/6/2023,6/20/2023,14,2,Swainwood & Swainwood N,0,1,1,6,0,,,,,
B-10,Sumilarv 3 WSP,6/6/2023,6/20/2023,14,2,Swainwood & Roosevelt,0,1,0,0,NA,,,,,
B-10,Sumilarv 3 WSP,6/6/2023,6/20/2023,14,2,Swainwood & Roosevelt,0,1,1,0,NA,,,,,
B-10,Sumilarv 3 WSP,6/6/2023,6/20/2023,14,2,Swainwood & Roosevelt,1,0,0,0,NA,,,,,
B-10,Sumilarv 3 WSP,6/6/2023,6/20/2023,14,2,Swainwood & Roosevelt,1,0,0,0,NA,,,,,
B-10,Sumilarv 3 WSP,6/6/2023,6/20/2023,14,2,2236 Swainwood,1,0,0,0,NA,,,,,
B-10,Sumilarv 3 WSP,6/6/2023,6/20/2023,14,2,Swainwood & Pinehurst,1,0,0,0,NA,,,,,
B-15,Sumilarv 3 WSP,5/24/2022,6/8/2022,15,3,Linden & 11th,0,1,1,27,0,,,,,
B-15,Sumilarv 3 WSP,5/24/2022,6/8/2022,15,3,Linden & 11th,0,1,1,47,0,,,,,
B-15,Sumilarv 3 WSP,5/24/2022,6/8/2022,15,3,Linden & 11th,0,1,1,4,0,,,,,
B-15,Sumilarv 3 WSP,5/24/2022,6/8/2022,15,3,Linden & 10th,0,1,1,0,NA,,,,,
B-15,Sumilarv 3 WSP,5/24/2022,6/8/2022,15,3,Linden & 10th,0,1,0,0,NA,,,,,
B-15,Sumilarv 3 WSP,5/24/2022,6/8/2022,15,3,Linden & 10th,1,0,0,0,NA,,,,,
B-15,Sumilarv 3 WSP,5/24/2022,6/8/2022,15,3,Linden & 10th,1,0,0,0,NA,,,,,
B-15,Sumilarv 3 WSP,5/24/2022,6/8/2022,15,3,Linden & 10th,1,0,0,0,NA,,,,,
B-15,Sumilarv 3 WSP,5/24/2022,6/8/2022,15,3,Linden & 9th,1,0,0,0,NA,,,,,
B-15,Sumilarv 3 WSP,5/24/2022,6/8/2022,15,3,Linden & 9th,0,1,1,0,NA,,,,,
B-15,Sumilarv 3 WSP,5/24/2022,6/8/2022,15,3,Linden & 9th,0,1,1,0,NA,,,,,
B-15,Sumilarv 3 WSP,5/24/2022,6/8/2022,15,3,Linden & 9th,0,0,1,0,NA,,,,,
B-15,Sumilarv 3 WSP,5/24/2022,6/8/2022,15,3,Greenleaf & 10th,0,1,1,0,NA,,,,,
B-15,Sumilarv 3 WSP,5/24/2022,6/8/2022,15,3,Greenleaf & 10th,0,1,1,0,NA,,,,,
B-15,Sumilarv 3 WSP,5/24/2022,6/8/2022,15,3,Greenleaf & 10th,0,0,1,0,NA,,,,,
B-15,Sumilarv 3 WSP,5/24/2022,6/8/2022,15,3,Greenleaf & 10th,1,0,0,0,NA,,,,,
B-15,Sumilarv 3 WSP,5/24/2022,6/8/2022,15,3,Greenleaf & 9th,0,1,0,0,NA,,,,,
B-15,Sumilarv 3 WSP,5/24/2022,6/8/2022,15,3,Greenleaf & 9th,0,1,1,2,0,,,,,
B-15,Sumilarv 3 WSP,5/24/2022,6/8/2022,15,3,Greenleaf & 9th,0,1,1,7,0,,,,,
B-15,Sumilarv 3 WSP,5/24/2022,6/8/2022,15,3,Greenleaf & 9th,0,1,1,4,0,,,,,
C-18,Sumilarv 3 WSP,6/5/2023,6/21/2023,16,3,7943 Kenton,0,1,1,0,NA,,,,,
C-18,Sumilarv 3 WSP,6/5/2023,6/21/2023,16,3,Kirk & Kenton,0,1,1,1,1,,,,,
C-18,Sumilarv 3 WSP,6/5/2023,6/21/2023,16,3,Kolmar & Kirk,1,0,0,0,NA,,,,,
C-18,Sumilarv 3 WSP,6/5/2023,6/21/2023,16,3,Kolmar & Kirk,0,1,1,29,0,,,,,
C-18,Sumilarv 3 WSP,6/5/2023,6/21/2023,16,3,7923 Kolmar,0,1,1,2,0,,,,,
C-18,Sumilarv 3 WSP,6/5/2023,6/21/2023,16,3,7923 Kolmar,0,1,1,14,1,,,,,
C-18,Sumilarv 3 WSP,6/5/2023,6/21/2023,16,3,Kilbourn & Alley,0,1,0,0,NA,,,,,
C-18,Sumilarv 3 WSP,6/5/2023,6/21/2023,16,3,Kilbourn & Kirk,0,1,1,84,0,,,,,
C-18,Sumilarv 3 WSP,6/5/2023,6/21/2023,16,3,Kilbourn & Kirk,1,0,0,0,NA,,,,,
C-18,Sumilarv 3 WSP,6/5/2023,6/21/2023,16,3,Kirk & Kenneth,0,1,1,23,23,,,,,
C-18,Sumilarv 3 WSP,6/5/2023,6/21/2023,16,3,Kirk & Kenneth,0,1,1,3,1,,,,,
C-18,Sumilarv 3 WSP,6/5/2023,6/21/2023,16,3,Mulford & Kenneth,0,1,1,4,0,,,,,
C-18,Sumilarv 3 WSP,6/5/2023,6/21/2023,16,3,Mulford & Kenneth,1,0,0,0,NA,,,,,
C-18,Sumilarv 3 WSP,6/5/2023,6/21/2023,16,3,Mulford & Kenneth,1,0,0,0,NA,,,,,
C-18,Sumilarv 3 WSP,6/5/2023,6/21/2023,16,3,Mulford & Kilbourn,0,1,1,1,0,,,,,
C-18,Sumilarv 3 WSP,6/5/2023,6/21/2023,16,3,Mulford & Kilbourn,0,1,1,11,0,,,,,
C-18,Sumilarv 3 WSP,6/5/2023,6/21/2023,16,3,Mulford & Kolmar,0,1,1,16,0,,,,,
C-18,Sumilarv 3 WSP,6/5/2023,6/21/2023,16,3,Mulford & Kolmar,0,1,1,1,0,,,,,
C-18,Sumilarv 3 WSP,6/5/2023,6/21/2023,16,3,Mulford & Kolmar,0,1,1,2,0,,,,,
C-18,Sumilarv 3 WSP,6/5/2023,6/21/2023,16,3,Mulford & Kenton,0,1,1,23,0,,,,,
B-13,Sumilarv 3 WSP,6/6/2023,6/22/2023,16,3,Schiller & Hunter,0,1,1,0,NA,,,,,
B-13,Sumilarv 3 WSP,6/6/2023,6/22/2023,16,3,2227 Schiller,1,0,0,0,NA,,,,,
B-13,Sumilarv 3 WSP,6/6/2023,6/22/2023,16,3,Schiller & Ouilmette W,0,1,1,608,0,,,,,
B-13,Sumilarv 3 WSP,6/6/2023,6/22/2023,16,3,Schiller & Ouilmette E,0,1,1,8,0,,,,,
B-13,Sumilarv 3 WSP,6/6/2023,6/22/2023,16,3,Harvard & Schiller,0,1,1,1,0,,,,,
B-13,Sumilarv 3 WSP,6/6/2023,6/22/2023,16,3,Harvard & Schiller,1,0,0,0,NA,,,,,
B-13,Sumilarv 3 WSP,6/6/2023,6/22/2023,16,3,Harvard & Schiller,0,1,1,79,0,,,,,
B-13,Sumilarv 3 WSP,6/6/2023,6/22/2023,16,3,Schiller & 20th,0,1,1,88,0,,,,,
B-13,Sumilarv 3 WSP,6/6/2023,6/22/2023,16,3,Schiller & 20th,0,1,1,0,NA,,,,,
B-13,Sumilarv 3 WSP,6/6/2023,6/22/2023,16,3,Schiller & 20th,0,1,1,158,0,,,,,
B-13,Sumilarv 3 WSP,6/6/2023,6/22/2023,16,3,Schiller & Alley 20th N,0,1,1,1,0,,,,,
B-13,Sumilarv 3 WSP,6/6/2023,6/22/2023,16,3,Schiller & Alley 20th N,1,0,0,0,NA,,,,,
B-13,Sumilarv 3 WSP,6/6/2023,6/22/2023,16,3,Schiller & Alley 20th N,1,0,0,0,NA,,,,,
B-13,Sumilarv 3 WSP,6/6/2023,6/22/2023,16,3,Birchwood Alley,0,1,1,18,0,,,,,
B-13,Sumilarv 3 WSP,6/6/2023,6/22/2023,16,3,Birchwood & 20th,0,1,1,27,0,,,,,
B-13,Sumilarv 3 WSP,6/6/2023,6/22/2023,16,3,Birchwood & 20th,0,1,1,0,NA,,,,,
B-13,Sumilarv 3 WSP,6/6/2023,6/22/2023,16,3,Birchwood & 20th,0,1,1,0,NA,,,,,
B-13,Sumilarv 3 WSP,6/6/2023,6/22/2023,16,3,Birchwood & Harvard,0,1,1,2,0,,,,,
B-13,Sumilarv 3 WSP,6/6/2023,6/22/2023,16,3,Birchwood & Harvard,0,1,1,16,0,,,,,
B-13,Sumilarv 3 WSP,6/6/2023,6/22/2023,16,3,Birchwood & Harvard,0,1,1,29,0,,,,,
B-19,Sumilarv 3 WSP,6/7/2023,6/23/2023,16,3,McDaniel & Martha,0,1,1,31,0,,,,,
B-19,Sumilarv 3 WSP,6/7/2023,6/23/2023,16,3,McDaniel & Martha,1,0,0,0,NA,,,,,
B-19,Sumilarv 3 WSP,6/7/2023,6/23/2023,16,3,McDaniel & Martha,0,1,1,0,NA,,,,,
B-19,Sumilarv 3 WSP,6/7/2023,6/23/2023,16,3,13 Martha,0,1,1,3,0,,,,,
B-19,Sumilarv 3 WSP,6/7/2023,6/23/2023,16,3,13 Martha,0,1,0,0,NA,,,,,
B-19,Sumilarv 3 WSP,6/7/2023,6/23/2023,16,3,8 Martha,1,0,0,0,NA,,,,,
B-19,Sumilarv 3 WSP,6/7/2023,6/23/2023,16,3,8 Martha,1,0,0,0,NA,,,,,
B-19,Sumilarv 3 WSP,6/7/2023,6/23/2023,16,3,Simpson & Hawthorne,0,1,1,68,0,,,,,
B-19,Sumilarv 3 WSP,6/7/2023,6/23/2023,16,3,Simpson & Hawthorne,0,0,1,0,NA,,,,,
B-19,Sumilarv 3 WSP,6/7/2023,6/23/2023,16,3,2040 Hawthorne,1,0,0,0,NA,,,,,
B-19,Sumilarv 3 WSP,6/7/2023,6/23/2023,16,3,2040 Hawthorne,1,0,0,0,NA,,,,,
B-19,Sumilarv 3 WSP,6/7/2023,6/23/2023,16,3,2026 Hawthorne,0,0,1,0,NA,,,,,
B-19,Sumilarv 3 WSP,6/7/2023,6/23/2023,16,3,2026 Hawthorne,1,0,0,0,NA,,,,,
B-19,Sumilarv 3 WSP,6/7/2023,6/23/2023,16,3,2020 Hawthorne,0,1,1,5,0,,,,,
B-19,Sumilarv 3 WSP,6/7/2023,6/23/2023,16,3,Hawthorne & Simpson E,0,1,1,9,0,,,,,
B-19,Sumilarv 3 WSP,6/7/2023,6/23/2023,16,3,Hawthorne & Simpson E,0,1,1,39,0,,,,,
B-19,Sumilarv 3 WSP,6/7/2023,6/23/2023,16,3,Simpson & Pioneer,0,1,1,3,0,,,,,
B-19,Sumilarv 3 WSP,6/7/2023,6/23/2023,16,3,Simpson & Pioneer,0,1,1,20,0,,,,,
B-19,Sumilarv 3 WSP,6/7/2023,6/23/2023,16,3,2119 Simpson,1,0,0,0,NA,,,,,
B-19,Sumilarv 3 WSP,6/7/2023,6/23/2023,16,3,2222 Simpson,1,0,0,0,NA,,,,,
C-18,Sumilarv 3 WSP,6/6/2023,6/26/2023,20,3,Lowell & Brummel,0,1,1,2,0,,,,,
C-18,Sumilarv 3 WSP,6/6/2023,6/26/2023,20,3,Lowell & Brummel,1,0,0,0,NA,,,,,
C-18,Sumilarv 3 WSP,6/6/2023,6/26/2023,20,3,Lowell & Brummel,0,1,1,1,0,,,,,
C-18,Sumilarv 3 WSP,6/6/2023,6/26/2023,20,3,7630 Lowell,1,0,0,0,NA,,,,,
C-18,Sumilarv 3 WSP,6/6/2023,6/26/2023,20,3,Lowell & Howard,1,0,0,0,NA,,,,,
C-18,Sumilarv 3 WSP,6/6/2023,6/26/2023,20,3,Lowell & Howard,1,0,0,0,NA,,,,,
C-18,Sumilarv 3 WSP,6/6/2023,6/26/2023,20,3,Lowell & Howard,1,0,0,0,NA,,,,,
C-18,Sumilarv 3 WSP,6/6/2023,6/26/2023,20,3,Lowell & Birchwood,1,0,0,0,NA,,,,,
C-18,Sumilarv 3 WSP,6/6/2023,6/26/2023,20,3,Lowell & Birchwood,0,1,1,9,0,,,,,
C-18,Sumilarv 3 WSP,6/6/2023,6/26/2023,20,3,Lowell & Birchwood,0,1,1,1,0,,,,,
C-18,Sumilarv 3 WSP,6/6/2023,6/26/2023,20,3,Lowell & Birchwood,0,1,1,0,NA,,,,,
C-18,Sumilarv 3 WSP,6/6/2023,6/26/2023,20,3,Lowell & Jarvis,1,0,0,0,NA,,,,,
C-18,Sumilarv 3 WSP,6/6/2023,6/26/2023,20,3,Lowell & Jarvis,1,0,0,0,NA,,,,,
C-18,Sumilarv 3 WSP,6/6/2023,6/26/2023,20,3,Lowell & Jarvis,1,0,0,0,NA,,,,,
C-18,Sumilarv 3 WSP,6/6/2023,6/26/2023,20,3,7326 Lowell,1,0,0,0,NA,,,,,
C-18,Sumilarv 3 WSP,6/6/2023,6/26/2023,20,3,7326 Lowell,0,0,1,0,NA,,,,,
C-18,Sumilarv 3 WSP,6/6/2023,6/26/2023,20,3,Lowell & Chase,1,0,0,0,NA,,,,,
C-18,Sumilarv 3 WSP,6/6/2023,6/26/2023,20,3,Lowell & Chase,1,0,0,0,NA,,,,,
C-18,Sumilarv 3 WSP,6/6/2023,6/26/2023,20,3,Lowell & Chase,1,0,0,0,NA,,,,,
C-18,Sumilarv 3 WSP,6/6/2023,6/26/2023,20,3,Lowell & Chase,1,0,0,0,NA,,,,,
B-10,Sumilarv 3 WSP,5/17/2022,6/13/2022,27,4,1910 Larkdale,0,0,1,0,NA,,,,,
B-10,Sumilarv 3 WSP,5/17/2022,6/13/2022,27,4,Larkdale & Lincoln,0,0,1,0,NA,,,,,
B-10,Sumilarv 3 WSP,5/17/2022,6/13/2022,27,4,Larkdale & Lincoln,0,0,1,5,0,,,,,
B-10,Sumilarv 3 WSP,5/17/2022,6/13/2022,27,4,Larkdale & Lincoln,0,1,1,2,0,,,,,
B-10,Sumilarv 3 WSP,5/17/2022,6/13/2022,27,4,2116 Larkdale,0,1,1,1,0,,,,,
B-10,Sumilarv 3 WSP,5/17/2022,6/13/2022,27,4,2116 Larkdale,0,1,1,1,0,,,,,
B-10,Sumilarv 3 WSP,5/17/2022,6/13/2022,27,4,2132 Larkdale,1,0,0,0,NA,,,,,
B-10,Sumilarv 3 WSP,5/17/2022,6/13/2022,27,4,2132 Larkdale,0,1,1,0,NA,,,,,
B-10,Sumilarv 3 WSP,5/17/2022,6/13/2022,27,4,Larkdale & Spruce,0,1,1,0,NA,,,,,
B-10,Sumilarv 3 WSP,5/17/2022,6/13/2022,27,4,Larkdale & Spruce,0,1,1,1,0,,,,,
B-10,Sumilarv 3 WSP,5/17/2022,6/13/2022,27,4,Larkdale & Spruce,0,1,1,1,0,,,,,
B-10,Sumilarv 3 WSP,5/17/2022,6/13/2022,27,4,Larkdale & Spruce,0,1,1,1,0,,,,,
B-10,Sumilarv 3 WSP,5/17/2022,6/13/2022,27,4,Larkdale & Spruce,0,1,1,7,0,,,,,
B-10,Sumilarv 3 WSP,5/17/2022,6/13/2022,27,4,Linneman & Spruce,1,0,0,0,NA,,,,,
B-10,Sumilarv 3 WSP,5/17/2022,6/13/2022,27,4,Linneman & Spruce,0,1,1,2,0,,,,,
B-10,Sumilarv 3 WSP,5/17/2022,6/13/2022,27,4,Linneman & Spruce,0,1,1,0,NA,,,,,
B-10,Sumilarv 3 WSP,5/17/2022,6/13/2022,27,4,Lincoln & Elm,0,1,1,3,0,,,,,
B-10,Sumilarv 3 WSP,5/17/2022,6/13/2022,27,4,Lincoln & Elm,0,1,1,4,0,,,,,
B-10,Sumilarv 3 WSP,5/17/2022,6/13/2022,27,4,Btwn Linneman & Henley on Elm,1,0,0,0,NA,,,,,
B-10,Sumilarv 3 WSP,5/17/2022,6/13/2022,27,4,Btwn Linneman & Henley on Elm,1,0,0,0,NA,,,,,
C-11,Sumilarv 3 WSP,4/18/2023,5/15/2023,27,4,Crain & Terminal,1,0,0,0,NA,,,,,
C-11,Sumilarv 3 WSP,4/18/2023,5/15/2023,27,4,Crain & Terminal,1,0,0,0,NA,,,,,
C-11,Sumilarv 3 WSP,4/18/2023,5/15/2023,27,4,Crain & Terminal,1,0,0,0,NA,,,,,
C-11,Sumilarv 3 WSP,4/18/2023,5/15/2023,27,4,Crain & Terminal,1,0,0,0,NA,,,,,
C-11,Sumilarv 3 WSP,4/18/2023,5/15/2023,27,4,Crain & Terminal,1,0,0,0,NA,,,,,
C-11,Sumilarv 3 WSP,4/18/2023,5/15/2023,27,4,Crain & Terminal,1,0,0,0,NA,,,,,
C-11,Sumilarv 3 WSP,4/18/2023,5/15/2023,27,4,Crain & Terminal,1,0,0,0,NA,,,,,
C-11,Sumilarv 3 WSP,4/18/2023,5/15/2023,27,4,Crain & Terminal,1,0,0,0,NA,,,,,
C-11,Sumilarv 3 WSP,4/18/2023,5/15/2023,27,4,Crain & Terminal,1,0,0,0,NA,,,,,
C-11,Sumilarv 3 WSP,4/18/2023,5/15/2023,27,4,Crain & Terminal,1,0,0,0,NA,,,,,
C-11,Sumilarv 3 WSP,4/18/2023,5/15/2023,27,4,Crain & Terminal,1,0,0,0,NA,,,,,
C-11,Sumilarv 3 WSP,4/18/2023,5/15/2023,27,4,Crain & Terminal,1,0,0,0,NA,,,,,
C-11,Sumilarv 3 WSP,4/18/2023,5/15/2023,27,4,Conrad & Terminal,0,1,1,0,NA,,,,,
C-11,Sumilarv 3 WSP,4/18/2023,5/15/2023,27,4,Conrad & Terminal,1,0,0,0,NA,,,,,
C-11,Sumilarv 3 WSP,4/18/2023,5/15/2023,27,4,Conrad & Terminal,1,0,0,0,NA,,,,,
C-11,Sumilarv 3 WSP,4/18/2023,5/15/2023,27,4,Greenleaf & Terminal,0,1,0,0,NA,,,,,
C-11,Sumilarv 3 WSP,4/18/2023,5/15/2023,27,4,Greenleaf & Terminal,1,0,0,0,NA,,,,,
C-11,Sumilarv 3 WSP,4/18/2023,5/15/2023,27,4,Greenleaf & Terminal,1,0,0,0,NA,,,,,
C-11,Sumilarv 3 WSP,4/18/2023,5/15/2023,27,4,Greenleaf & Terminal,1,0,0,0,NA,,,,,
C-11,Sumilarv 3 WSP,4/18/2023,5/15/2023,27,4,Greenleaf & Terminal,1,0,0,0,NA,,,,,
C-06,Sumilarv 3 WSP,4/20/2023,5/18/2023,28,4,Harding & Golf,1,0,0,0,NA,,,,,
C-06,Sumilarv 3 WSP,4/20/2023,5/18/2023,28,4,Harding & Foster,1,0,0,0,NA,,,,,
C-06,Sumilarv 3 WSP,4/20/2023,5/18/2023,28,4,Harding & Foster,1,0,0,0,NA,,,,,
C-06,Sumilarv 3 WSP,4/20/2023,5/18/2023,28,4,Harding & Foster,1,0,0,0,NA,,,,,
C-06,Sumilarv 3 WSP,4/20/2023,5/18/2023,28,4,Emerson & Harding,1,0,0,0,NA,,,,,
C-06,Sumilarv 3 WSP,4/20/2023,5/18/2023,28,4,Emerson & Harding,1,0,0,0,NA,,,,,
C-06,Sumilarv 3 WSP,4/20/2023,5/18/2023,28,4,Lyons & Harding,0,1,0,0,NA,,,,,
C-06,Sumilarv 3 WSP,4/20/2023,5/18/2023,28,4,Lyons & Harding,1,0,0,0,NA,,,,,
C-06,Sumilarv 3 WSP,4/20/2023,5/18/2023,28,4,Lyons & Harding,1,0,0,0,NA,,,,,
C-06,Sumilarv 3 WSP,4/20/2023,5/18/2023,28,4,Lyons & Springfield,1,0,0,0,NA,,,,,
C-06,Sumilarv 3 WSP,4/20/2023,5/18/2023,28,4,Lyons & Springfield,1,0,0,0,NA,,,,,
C-06,Sumilarv 3 WSP,4/20/2023,5/18/2023,28,4,Emerson & Springfield,1,0,0,0,NA,,,,,
C-06,Sumilarv 3 WSP,4/20/2023,5/18/2023,28,4,Emerson & Springfield,1,0,0,0,NA,,,,,
C-06,Sumilarv 3 WSP,4/20/2023,5/18/2023,28,4,Emerson & Springfield,0,1,0,0,NA,,,,,
C-06,Sumilarv 3 WSP,4/20/2023,5/18/2023,28,4,Springfield & Foster,1,0,0,0,NA,,,,,
C-06,Sumilarv 3 WSP,4/20/2023,5/18/2023,28,4,Springfield & Foster,1,0,0,0,NA,,,,,
C-06,Sumilarv 3 WSP,4/20/2023,5/18/2023,28,4,Foster & Golf,1,0,0,0,NA,,,,,
C-06,Sumilarv 3 WSP,4/20/2023,5/18/2023,28,4,Foster & Avers,1,0,0,0,NA,,,,,
C-06,Sumilarv 3 WSP,4/20/2023,5/18/2023,28,4,Foster & Avers,1,0,0,0,NA,,,,,
C-06,Sumilarv 3 WSP,4/20/2023,5/18/2023,28,4,Foster & Avers,1,0,0,0,NA,,,,,
C-03,Sumilarv 3 WSP,6/8/2022,7/7/2022,29,5,Menard & Davis,0,1,1,6,0,,,,,
C-03,Sumilarv 3 WSP,6/8/2022,7/7/2022,29,5,Menard & Davis,0,1,1,4,0,,,,,
C-03,Sumilarv 3 WSP,6/8/2022,7/7/2022,29,5,Menard & Davis,0,1,1,6,0,,,,,
C-03,Sumilarv 3 WSP,6/8/2022,7/7/2022,29,5,Menard & Davis,0,1,1,12,0,,,,,
C-03,Sumilarv 3 WSP,6/8/2022,7/7/2022,29,5,Mango & Lake,0,1,1,59,1,,,,,
C-03,Sumilarv 3 WSP,6/8/2022,7/7/2022,29,5,Mango & Lake,0,1,1,20,0,,,,,
C-03,Sumilarv 3 WSP,6/8/2022,7/7/2022,29,5,Mango & Lake,0,1,1,6,0,,,,,
C-03,Sumilarv 3 WSP,6/8/2022,7/7/2022,29,5,Mango & Lake,0,1,1,13,0,,,,,
C-03,Sumilarv 3 WSP,6/8/2022,7/7/2022,29,5,Parkside & Lake,0,1,1,8,0,,,,,
